Folder,Files,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org\wso2\carbon\mdm\services\android\bean,25,1191,468,342,51,224,0,499,3043,425,2725
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org\wso2\carbon\mdm\services\android\bean\wrapper,12,573,228,168,24,108,0,237,1462,204,1308
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org\wso2\carbon\mdm\services\android\common,3,175,94,69,10,30,0,51,327,51,327
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org\wso2\carbon\mdm\services\android\exception,4,176,61,44,1,31,0,84,485,68,436
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\jax-rs\src\main\java\org\wso2\carbon\mdm\services\android\util,5,575,394,294,47,80,0,101,609,85,545
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service,8,1240,855,678,98,171,0,214,1328,119,763
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app,8,1240,855,678,98,171,0,214,1328,119,763
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app\src,8,1240,855,678,98,171,0,214,1328,119,763
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app\src\androidTest,1,13,8,6,0,2,0,3,6,0,0
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app\src\androidTest\java,1,13,8,6,0,2,0,3,6,0,0
Z:\MDM\analysisEMM\product-emm-2.0.1\product-emm-2.0.1\modules\mobile-agents\android\system-service\app\src\androidTest\java\org,1,13,8,6,0,2,0,3,6,0,0
